page_number,date,title,body,author,score,link
1,enero de 2024,Buena relación calidad precio,"Nos ha gustado mucho, hemos venido un grupo de amigas y la atención, la comida y el trato ha sido muy bueno. Marina la camarera ha sido muy amable y atenta, repetiremos seguro",mar_adelcarmenm730,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r932162112-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,Todo perfecto,"Todo perfecto, Cristian el chico que nos atendió un crack. Comida y precio perfecto. Volveremos en cuanto podamos. Top",MiguelP47,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r932147676-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,"Trato inmejorable, comida muy buena","No lo conociamos…desde que entramos todos los camareros super amables,TODOS, es algo que sorprende. La comida muy buena, el precio muy razonablemismo centro de Málaga), las tapas en buena cantidad. Repetiremos 100%.",Manuel S,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r931320683-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,TRATO EXCELENTE,"Un sitio excelente tanto para comer como para tomar algo!!!!!!! Trato del personal muy bueno y destacar a Marina, muy simpatica, alegre y profesional!!! Repetiremos!!!!!",NATALIA V,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929092469-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,.,"restaurante excelente!! la comida muy buena y mejor trato imposible de los camareros, marina la mejor camarera🙌🏽",Eva V,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929091799-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,gracias por tanto,"genial todo, fuimos de casualidad y no dudaré en repetir, el trato fue muy familiar y la comida es increíble",Silvia G,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929091742-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,Excelente,"Muy buen servicio, las tapas estaban muy buenas y eran muy abundantes, el trato de los camareros espectacular sobre todo Marina, es un encanto de mujer.",María C,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929091367-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,Calidad - precio,"Nos atendió una chica muy simpática, llamada marina. Buen trato, buena comida y nos gustó mucho a todos.",Ana B,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r928972044-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,Barato y bueno,Lugar agradable. Tomamos una paella de marisco muy buena. Recomendamos por su precio variedad y calidad y buenos camareros.,jorgeponsin,4,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r928970623-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,enero de 2024,"Excelente servicio de todos, especialmente Marina","¡Excelente atención, comida típica con un sazón delicioso! Festejamos los 80 años y Marina nos regaló un lindísimo momento.",Patricia G,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r928160042-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
