page_number,date,title,body,author,score,link
1,febrero de 2024,Genial,"Un nuevo descubrimiento callejeando por Malaga, sin duda para repetir y Marina muy atenta 10/10 nos trajo una manta porque uno de la mesa tenia frio. encantadora!!",Resort823887,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r936865855-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Agradable comida,Buena atención..comida muy buena. Volvería sin duda .Especial mención a Marina por su educación y simpatía al animar a posibles comensales.Y durante nuestra estancia en el restaurante compartiendo impresiones.,2juntos,4,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r935819892-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Una cena malagueña,"Cenamos muy bien, raciones generosas y un servicio muy atento y amables. El sitio acogedor y agradable. Los chipirones y las setas deliciosos.",Elena S,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r934816147-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Muy buena experiencia,"Bonito establecimiento, buena oferta, buen ambiente, buena música y buen servicio, muy atentos, cordiales y rápidos. Nos llevamos y muy buen recuerdo!",Rosa T,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r934813438-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Una gran experiencia,"Marina fenomenal , simpática y profesional. La cena muy rica. Juan un camarero muy atento. Volveremos.",ML S,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r934812390-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Buena relación calidad precio,"Nos ha gustado mucho, hemos venido un grupo de amigas y la atención, la comida y el trato ha sido muy bueno. Marina la camarera ha sido muy amable y atenta, repetiremos seguro",mar_adelcarmenm730,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r932162112-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,Todo perfecto,"Todo perfecto, Cristian el chico que nos atendió un crack. Comida y precio perfecto. Volveremos en cuanto podamos. Top",MiguelP47,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r932147676-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,"Trato inmejorable, comida muy buena","No lo conociamos…desde que entramos todos los camareros super amables,TODOS, es algo que sorprende. La comida muy buena, el precio muy razonablemismo centro de Málaga), las tapas en buena cantidad. Repetiremos 100%.",Manuel S,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r931320683-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,TRATO EXCELENTE,"Un sitio excelente tanto para comer como para tomar algo!!!!!!! Trato del personal muy bueno y destacar a Marina, muy simpatica, alegre y profesional!!! Repetiremos!!!!!",NATALIA V,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929092469-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
1,febrero de 2024,.,"restaurante excelente!! la comida muy buena y mejor trato imposible de los camareros, marina la mejor camarera🙌🏽",Eva V,5,https://www.tripadvisor.es/ShowUserReviews-g187438-d25191960-r929091799-Santa_Monica_Restaurant_Sanchez_Pastor-Malaga_Costa_del_Sol_Province_of_Malaga_.html
