review,answer
"En pleno centro de Málaga, ambiente muy agradable al igual que su personal. Comida estupenda, platos abundantes y riquísimos.Precios aceptables. Lo recomiendo 100%", "¡Gracias por tu amable reseña! Estamos encantados de saber que disfrutaste de tu experiencia en el Restaurante Santa Mónica. Esperamos verte pronto de nuevo."
"Sólo tomamos un par de tapas y unos refrescos. El Tataki de atún muy bueno, disfruté mezclarlo con las bolitas de manzana. La ensaladilla rusa en su punto, sabrosa. El precio, pues pagas lo que hay, calidad, pleno centro de Málaga, una cosa razonable. Los baños limpios, cambiador para bebés, acceso para minusválidos. Sitio recomendable para tapear y supongo que para comer también, por la calidad que se percibe.","Nos alegra saber que disfrutaste de nuestra comida. Gracias por tu positiva reseña. ¡Esperamos verte pronto para ofrecerte más deliciosa cocina!"
"Las raciones eran grandes y el personal muy amable, además nos sirvieron con rapidez y la ubicación está genial","Apreciamos tus amables palabras sobre nuestro servicio. Nos esforzamos por brindar la mejor atención posible a nuestros clientes. ¡Esperamos servirte de nuevo!"
"Un restaurante con una terraza muy agradable para comer. Estaba todo buenísimo....y lo mejor el personal, Irene y Laura encantadoras y muy profesionales","Gracias por destacar a nuestro personal. Nos enorgullece contar con un equipo dedicado. ¡Esperamos darte la bienvenida de nuevo pronto!"
"Lugar agradable. Tomamos una paella de marisco muy buena. Recomendamos por su precio variedad y calidad y buenos camareros.","Nos complace saber que tu visita fue memorable. Agradecemos tus elogios y esperamos tener el placer de atenderte nuevamente en el Restaurante Santa Mónica."
"Comida buena pero… pedimos 4 platos y 3 de ellos nos los sirvieron al mismo tiempo, en una mesa de 50 cm, malamente nos podíamos mover. El cuarto plato que pedimos se lo pusieron a la mesa de al lado por error, gracias a ello pudimos ganar unos minutos para terminarnos los tres anteriores. A la hora de la cuenta nos pusieron una cerveza de más por error. En resumen la comida está buena pero el resto deja mucho que desear", "Lamentamos escuchar que tu experiencia no estuvo a la altura de tus expectativas. Valoramos tu retroalimentación y trabajaremos arduamente para mejorar."
"Restaurante orientado a turistas. Fui con una reserva de The fork pero ni si quiera la añadieron en la cuenta. La comida es de calidad mediocre, para nada acorde con su precio. Las croquetas y la milanesa un tanto insípidas. Lo mejor fue el trato de la camarera de pelo corto, muy buen rollo y cercana con el cliente.","Sentimos que tu experiencia no haya sido positiva. Nos esforzamos por ofrecer la mejor calidad en nuestros platos, y tomamos en serio tus comentarios para hacer mejoras."
"Buen ambiente y servicio rápido. Tapas variadas y abundantes. Trato excepcional. Si volvemos a Malaga repetiremos.","Gracias por destacar nuestro servicio. Nos esforzamos por brindar atención de calidad a todos nuestros clientes. ¡Esperamos tener el placer de servirte de nuevo!"
"Fui con mi novio y nos gustó mucho la comida y la amistad del restaurante. Marina fue muy agradable y acogedora y fue una experiencia muy especial.","Nos alegra saber que nuestro servicio estuvo a la altura de tus expectativas. Agradecemos tu amable reseña y esperamos verte pronto para otra excelente experiencia."
"Nos comimos un arroz negro espectacular y la atención increíble! Cuando volvamos de madrid, parada obligatoria","Agradecemos tu positiva reseña sobre la comida. Nos esforzamos por ofrecer platos deliciosos y auténticos. ¡Esperamos que vuelvas pronto para más experiencias gastronómicas!"
"Excelente atención muy buena la onda de los Mozos. La comida espectacular comimos una paella que estaba buenísima y unas tapa y ensalada. Todo delicioso. El lugar es muy linda y agradable. Pasamos una velada increíble. Muchas gracias !. Seguro volveremos","Nos complace saber que disfrutaste de nuestra variedad de platos. Agradecemos tu reseña positiva y esperamos tener el placer de servirte de nuevo en el Restaurante Santa Mónica."
